<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20130215;000000;58.1500000;58.1500000;51.2300000;55.0000000;5897620
20130218;000000;55.0000000;56.6000000;54.1800000;56.0200000;2767350
20130219;000000;56.5000000;56.6000000;55.9500000;56.0000000;1761230
20130220;000000;56.3000000;56.5000000;54.9800000;55.4000000;1413600
20130221;000000;55.0300000;55.3900000;54.4100000;54.7000000;519330
20130222;000000;54.5000000;54.8600000;53.8900000;54.5000000;1229680
20130225;000000;54.7600000;54.8000000;54.0700000;54.7500000;105930
20130226;000000;54.5700000;54.7400000;52.5700000;54.4000000;1490440
20130227;000000;54.2500000;54.2500000;53.4000000;54.2000000;2748950
20130228;000000;54.7400000;54.7400000;53.5000000;53.8900000;341650
20130301;000000;53.7000000;54.2800000;52.5000000;52.5000000;2183750
20130304;000000;52.5000000;52.9700000;52.3000000;52.8000000;2048950
20130305;000000;52.8800000;53.8000000;52.7000000;53.7500000;579530
20130306;000000;53.3000000;54.2000000;53.3000000;53.8000000;1080540
20130307;000000;53.4900000;54.2000000;53.4300000;53.9900000;572780
20130311;000000;53.9800000;54.6000000;53.2700000;54.0000000;1553350
20130312;000000;53.5200000;54.8000000;53.2800000;54.6000000;1707250
20130313;000000;54.2300000;55.0800000;54.2200000;54.5500000;4353160
20130314;000000;54.8000000;55.1500000;54.3000000;54.9000000;2690980
20130315;000000;55.0000000;55.2400000;54.1600000;55.0000000;9059010
20130318;000000;52.7500000;53.4300000;51.1000000;52.8500000;1133650
20130319;000000;53.2000000;53.2000000;51.8700000;51.9600000;1403920
20130320;000000;52.2000000;52.3600000;50.7600000;52.1200000;1013200
20130321;000000;52.5700000;52.9600000;51.9500000;52.1300000;407400
20130322;000000;52.3000000;52.3000000;51.5600000;51.9400000;455650
20130325;000000;52.3800000;52.3800000;51.8000000;51.9200000;199820
20130326;000000;51.5500000;52.0000000;50.3000000;51.4900000;338920
20130327;000000;52.0300000;52.0300000;50.9000000;51.2600000;265490
20130328;000000;51.0000000;51.0000000;48.8000000;48.8700000;628410
20130329;000000;49.5100000;49.8700000;49.0000000;49.4800000;332070
20130401;000000;50.1800000;50.1800000;49.1600000;49.6300000;79790
20130402;000000;49.6300000;49.6300000;48.3800000;48.5900000;168370
20130403;000000;48.5200000;48.5200000;47.8900000;48.2300000;133190
20130404;000000;48.0700000;48.6500000;47.4200000;48.4300000;181760
20130405;000000;48.4300000;48.6100000;47.5000000;48.5000000;123940
20130408;000000;48.6700000;48.8800000;47.5000000;47.5200000;110510
20130409;000000;48.2300000;48.2300000;47.4000000;47.4000000;209980
20130410;000000;48.0000000;48.0000000;46.7500000;46.8700000;424170
20130411;000000;47.2200000;47.6000000;45.7500000;45.7500000;602080
20130412;000000;45.7000000;45.9700000;45.0000000;45.4500000;469350
20130415;000000;45.5000000;46.2000000;45.4200000;45.6600000;1393630
20130416;000000;45.7700000;45.7700000;42.5700000;43.3900000;578480
20130417;000000;43.8800000;44.4800000;43.1100000;43.3000000;1034050
20130418;000000;43.5000000;43.5000000;42.5800000;43.0300000;888600
20130419;000000;43.1800000;43.5700000;43.0000000;43.3800000;1334260
20130422;000000;43.9900000;44.0500000;43.5000000;43.5500000;472550
20130423;000000;43.7100000;44.0800000;43.6300000;44.0000000;835630
20130424;000000;44.0200000;44.5000000;44.0200000;44.4600000;456310
20130425;000000;44.4200000;44.6300000;44.0100000;44.2000000;556250
20130426;000000;44.5000000;44.9500000;44.2000000;44.6900000;822010
20130429;000000;44.9100000;45.0100000;44.4000000;44.5700000;187190
20130430;000000;44.9100000;45.0100000;44.3000000;44.4100000;323540
20130502;000000;44.5500000;44.5500000;43.7500000;44.3700000;169640
20130503;000000;44.4000000;44.9800000;44.2200000;44.9800000;172390
20130506;000000;45.2900000;47.8300000;45.2900000;46.1600000;686090
20130507;000000;46.1500000;49.9000000;46.1500000;47.5000000;477510
20130508;000000;47.3500000;49.0000000;47.0100000;48.7600000;690130
20130510;000000;48.5600000;49.2900000;48.5400000;48.6000000;738670
20130513;000000;49.2700000;49.9900000;48.6300000;49.0000000;280750
20130514;000000;48.9700000;49.2300000;48.6800000;49.0800000;591600
20130515;000000;50.0000000;50.1400000;49.6200000;49.8500000;1074800
20130516;000000;49.9900000;50.1000000;49.9000000;50.1000000;216910
20130517;000000;50.1000000;50.2900000;50.0000000;50.0900000;127180
20130520;000000;49.9900000;51.2000000;49.9900000;51.0000000;535400
20130521;000000;50.3800000;51.5000000;45.2500000;51.3400000;877330
20130522;000000;51.3500000;55.0600000;51.3500000;54.4500000;1901910
20130523;000000;54.3500000;54.4300000;53.5000000;53.7600000;534050
20130524;000000;53.8300000;53.9300000;52.5100000;52.5100000;484860
20130527;000000;53.2900000;53.4000000;52.8100000;53.2000000;360060
20130528;000000;53.2400000;53.9700000;53.2100000;53.7900000;256510
20130529;000000;53.3800000;53.7200000;52.8000000;53.5200000;637050
20130530;000000;53.2400000;53.5900000;53.0500000;53.5000000;827150
20130531;000000;53.6800000;53.8000000;53.3700000;53.3700000;172810
20130603;000000;53.4600000;53.6100000;52.6400000;52.6800000;691060
20130604;000000;52.8700000;53.1200000;52.4500000;52.6200000;822880
20130605;000000;52.5300000;52.7600000;52.5000000;52.5000000;299610
20130606;000000;52.5000000;54.7800000;52.5000000;53.2500000;1753200
20130607;000000;53.1800000;53.8000000;53.0800000;53.5300000;310380
20130610;000000;53.6900000;53.7100000;53.4600000;53.5000000;331830
20130611;000000;53.5000000;53.6500000;52.1800000;52.1800000;700110
20130613;000000;52.1300000;52.1500000;51.5200000;51.5200000;431750
20130614;000000;51.7700000;51.9500000;51.4900000;51.5600000;234920
20130617;000000;51.5700000;54.0000000;51.3300000;52.7500000;1238970
20130618;000000;52.4100000;52.8600000;52.0000000;52.6200000;224530
20130619;000000;52.8100000;53.0600000;52.2700000;52.6800000;468670
20130620;000000;52.4200000;52.4200000;50.5000000;50.5000000;1191240
20130621;000000;50.4700000;51.3000000;49.7800000;49.7800000;988950
20130624;000000;50.4900000;51.7800000;49.7900000;51.4700000;1859290
20130625;000000;51.4900000;52.4900000;51.3000000;52.0000000;1878380
20130626;000000;52.0900000;52.8600000;51.8300000;52.7200000;1598000
20130627;000000;52.7800000;53.3000000;52.4500000;53.0400000;956730
20130628;000000;52.8200000;54.4100000;52.8200000;53.2100000;1314550
20130701;000000;53.4800000;54.0100000;53.4300000;53.9000000;521190
20130702;000000;53.9900000;54.1700000;53.6000000;54.1500000;729990
20130703;000000;54.1900000;54.2000000;53.6700000;53.7300000;393600
20130704;000000;54.2300000;54.2300000;53.8500000;53.9000000;395250
20130705;000000;54.0000000;54.0800000;53.8500000;53.8900000;339780
20130708;000000;53.8900000;54.0800000;53.8400000;54.0500000;448910
20130709;000000;54.1400000;54.1500000;53.6000000;53.6000000;462360
20130710;000000;53.7300000;53.7300000;53.2600000;53.3000000;283160
20130711;000000;53.5000000;54.1800000;53.5000000;54.1800000;1056790
20130712;000000;54.0500000;54.2000000;53.7500000;53.9000000;355470
20130715;000000;53.9900000;54.1900000;53.8000000;53.9000000;272370
20130716;000000;53.9900000;54.0300000;53.7700000;53.8600000;454220
20130717;000000;54.0000000;54.0400000;53.9000000;54.0200000;315520
20130718;000000;54.2800000;54.2800000;53.9300000;53.9300000;494700
20130719;000000;53.5800000;54.2600000;53.2800000;53.8500000;769690
20130722;000000;53.7100000;54.1000000;53.6400000;53.9400000;627960
20130723;000000;53.9700000;54.5000000;53.8900000;53.9700000;929170
20130724;000000;53.9500000;54.3800000;53.9500000;54.2400000;663280
20130725;000000;54.5000000;54.5000000;53.9500000;54.0000000;488120
20130726;000000;53.9400000;54.4300000;53.9400000;54.4300000;337110
20130729;000000;54.4300000;55.3000000;54.3000000;55.3000000;1142680
20130730;000000;54.7400000;56.1500000;54.7400000;56.0600000;711920
20130731;000000;55.9800000;56.3000000;55.9800000;56.2800000;1171510
20130801;000000;56.2200000;60.5000000;56.2200000;60.5000000;2123960
20130802;000000;60.7800000;62.3000000;58.3000000;59.0000000;1221740
20130805;000000;59.5400000;62.4200000;58.8900000;59.9000000;1082540
20130806;000000;59.4500000;59.9000000;55.1200000;56.4000000;968410
20130807;000000;56.3900000;56.3900000;55.7700000;55.7700000;788430
20130808;000000;55.9400000;56.0400000;55.7100000;56.0400000;368310
20130809;000000;55.8100000;56.1700000;55.8100000;56.1000000;267510
20130812;000000;56.4300000;56.4300000;55.9800000;56.0900000;659360
20130813;000000;55.9700000;57.1300000;55.9700000;56.7800000;1000750
