<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20140106;000000;42.0300000;42.0300000;40.2200000;40.3000000;61770
20140108;000000;40.3400000;41.5000000;40.2100000;40.6700000;32330
20140109;000000;40.4200000;41.2600000;40.4200000;41.1400000;16530
20140110;000000;40.7500000;41.2200000;40.2200000;41.1900000;126540
20140113;000000;40.8500000;41.7000000;40.6400000;41.6900000;35910
20140114;000000;41.0000000;42.3000000;40.5100000;42.0000000;82910
20140115;000000;42.0000000;43.3900000;42.0000000;42.8500000;47630
20140116;000000;43.2500000;44.0000000;42.7800000;43.2200000;62200
20140117;000000;42.8000000;43.5000000;42.3900000;43.0000000;75510
20140120;000000;43.0000000;43.2100000;41.7500000;42.2700000;33990
20140121;000000;42.2800000;42.5900000;41.4000000;41.9000000;24540
20140122;000000;41.5100000;41.9400000;41.4000000;41.7500000;38360
20140123;000000;41.9000000;42.6000000;40.6600000;41.1100000;42760
20140124;000000;40.6600000;41.3000000;40.5300000;40.6800000;25720
20140127;000000;40.9200000;40.9900000;40.2000000;40.6700000;38580
20140128;000000;40.7500000;40.8500000;40.1000000;40.3700000;31090
20140129;000000;40.1000000;40.8100000;38.9900000;39.4900000;127540
20140130;000000;39.6500000;39.7400000;38.0000000;39.4600000;93520
20140131;000000;39.4600000;40.3300000;38.7300000;39.2700000;58230
20140203;000000;39.7100000;39.7300000;37.5300000;37.8600000;84330
20140204;000000;37.5000000;38.0000000;36.7400000;38.0000000;42210
20140205;000000;38.0000000;38.7300000;37.5000000;38.7100000;41620
20140206;000000;38.7100000;38.7500000;38.0000000;38.4900000;41140
20140207;000000;38.4900000;38.7000000;38.1100000;38.6500000;21900
20140210;000000;38.5100000;38.9100000;38.5100000;38.5700000;17150
20140211;000000;38.5600000;38.9700000;38.3000000;38.8000000;22520
20140212;000000;39.2500000;39.2500000;38.5600000;39.0700000;26950
20140213;000000;38.6500000;38.9600000;38.0000000;38.0000000;72650
20140214;000000;38.4600000;38.9000000;38.1500000;38.5900000;51560
20140217;000000;38.8100000;38.9900000;37.6000000;38.5000000;135750
20140218;000000;38.7500000;38.8000000;38.4200000;38.6500000;224100
20140219;000000;38.5000000;38.9500000;38.2600000;38.3800000;144690
20140220;000000;38.2500000;38.4400000;37.6900000;38.0000000;122830
20140221;000000;38.2400000;38.2900000;37.6100000;37.9700000;85560
20140224;000000;37.5600000;38.2000000;37.5000000;37.7500000;129940
20140225;000000;37.6900000;38.0200000;37.2300000;37.5900000;72000
20140226;000000;37.5900000;38.0000000;37.4500000;37.5100000;60060
20140227;000000;37.6800000;38.0800000;35.7500000;36.5100000;106630
20140228;000000;36.7600000;36.7600000;35.4500000;35.8100000;91610
20140303;000000;33.8000000;34.4800000;27.1900000;29.0000000;564870
20140304;000000;30.8300000;31.9900000;29.3000000;29.9000000;569360
20140305;000000;30.4800000;32.2900000;29.1100000;31.2000000;345260
20140306;000000;31.5000000;32.2100000;29.6000000;30.5000000;115930
20140307;000000;30.3100000;30.8000000;30.0000000;30.7900000;95130
20140311;000000;30.8900000;30.8900000;29.9200000;30.5700000;65460
20140312;000000;30.2000000;30.2000000;28.5000000;28.9400000;89940
20140313;000000;28.7900000;29.5800000;27.7600000;28.8000000;34970
20140314;000000;28.0600000;28.8100000;26.5600000;27.7800000;101390
20140317;000000;31.0000000;31.2500000;27.8300000;29.0400000;62220
20140318;000000;29.3000000;30.9000000;29.3000000;30.6900000;57850
20140319;000000;30.5500000;31.1200000;29.8000000;30.7500000;64120
20140320;000000;30.0200000;30.4500000;29.8000000;30.0100000;56790
20140321;000000;29.9200000;29.9200000;28.6100000;29.7300000;33520
20140324;000000;29.7200000;30.5900000;29.7100000;30.4100000;73800
20140325;000000;30.4900000;32.6900000;30.4900000;31.0000000;369560
20140326;000000;30.4500000;34.0000000;30.4500000;33.0100000;197060
20140327;000000;33.1900000;33.9800000;33.1000000;33.7300000;99750
20140328;000000;33.6800000;34.4900000;33.4600000;33.6700000;52840
20140331;000000;33.9400000;34.9400000;33.5000000;34.5800000;55140
20140401;000000;34.9100000;35.7900000;34.2500000;35.5000000;101830
20140402;000000;35.4000000;36.1900000;35.1900000;36.1000000;62070
20140403;000000;35.9000000;36.2500000;35.0100000;35.3000000;36760
20140404;000000;35.5400000;35.5600000;34.8200000;35.2000000;30190
20140407;000000;34.7600000;35.1400000;33.8700000;34.2900000;47470
20140408;000000;34.2500000;34.2500000;33.4600000;33.8200000;28670
20140409;000000;33.9900000;34.4000000;33.5300000;33.6000000;17510
20140410;000000;34.2000000;34.2000000;33.4600000;34.1900000;24360
20140411;000000;33.5900000;34.0300000;33.4600000;33.4600000;51370
20140414;000000;33.4700000;33.4700000;31.9500000;32.2900000;27020
20140415;000000;32.2800000;32.3200000;31.4000000;31.4000000;30830
20140416;000000;31.8900000;40.1200000;31.1100000;31.8900000;99880
20140417;000000;31.8900000;31.9000000;31.5100000;31.8900000;17620
20140418;000000;32.1000000;33.0000000;31.9500000;32.4400000;63390
20140421;000000;32.1500000;32.2000000;31.8400000;31.8800000;15180
20140422;000000;31.8700000;31.8700000;31.2100000;31.2100000;18830
20140423;000000;31.4600000;31.4600000;30.6800000;31.0000000;13000
20140424;000000;30.9100000;31.2300000;30.1000000;30.9500000;38130
20140425;000000;30.3100000;30.7000000;29.8600000;30.0000000;45890
20140428;000000;29.7600000;31.7000000;29.6600000;31.7000000;78690
20140429;000000;31.5100000;31.7400000;30.9900000;31.2600000;40560
20140430;000000;31.4500000;32.0500000;31.3300000;31.3600000;84730
20140502;000000;31.2700000;31.4200000;31.2000000;31.2000000;11740
20140505;000000;31.2700000;31.2800000;30.2000000;30.5400000;9420
20140506;000000;30.5100000;31.0000000;30.4700000;30.5100000;27300
20140507;000000;30.6900000;31.0500000;30.3900000;30.8500000;44170
20140508;000000;30.9800000;31.5400000;30.6600000;31.2000000;55420
20140512;000000;31.2000000;31.8300000;31.1000000;31.5600000;21170
20140513;000000;31.8300000;33.6500000;31.8200000;33.5100000;78880
20140514;000000;33.5900000;33.5900000;33.0000000;33.3800000;33270
20140515;000000;33.6400000;33.7100000;32.3800000;32.3800000;6220
20140516;000000;32.8900000;32.8900000;31.7500000;32.1000000;37420
20140519;000000;32.1400000;32.9900000;31.7700000;32.0700000;54560
20140520;000000;32.2200000;32.2200000;31.6100000;32.0900000;22380
20140521;000000;32.0800000;33.0500000;31.9500000;32.2100000;221720
20140522;000000;32.6000000;34.5000000;32.2600000;34.2300000;368650
20140523;000000;34.0600000;35.1000000;33.8600000;35.1000000;47660
20140526;000000;35.1400000;36.9800000;35.0100000;36.3200000;193450
20140527;000000;36.2700000;37.0100000;34.8900000;34.8900000;60250
20140528;000000;35.0100000;35.7200000;34.8000000;35.4900000;17210
20140529;000000;35.7200000;35.7200000;35.0000000;35.1600000;11740
20140530;000000;35.2000000;35.2000000;34.4900000;34.4900000;7660
20140602;000000;34.7300000;36.0000000;34.4900000;35.3000000;68740
20140603;000000;35.4900000;37.3300000;34.9100000;37.0000000;54580
20140604;000000;37.0600000;37.7700000;36.6900000;37.6500000;47030
20140605;000000;37.6400000;38.5600000;37.5400000;38.4900000;90090
20140606;000000;38.1500000;38.9500000;38.1000000;38.8000000;28860
20140609;000000;38.2600000;38.8900000;38.2600000;38.5000000;12720
20140610;000000;38.3300000;39.4300000;38.1600000;38.7900000;59220
20140611;000000;38.7000000;39.7900000;38.5700000;39.4900000;132150
20140616;000000;39.2100000;40.3900000;38.7900000;40.3900000;86620
20140617;000000;40.0200000;40.2000000;40.0000000;40.0000000;111570
20140618;000000;39.8900000;40.0900000;39.8900000;40.0500000;34610
20140619;000000;40.1600000;40.4900000;40.1600000;40.2500000;20650
20140620;000000;40.1100000;40.2800000;40.1000000;40.1100000;5360
20140623;000000;40.0300000;40.2100000;40.0000000;40.0500000;5180
20140624;000000;40.2800000;40.4900000;40.2100000;40.3900000;3240
20140625;000000;40.1400000;40.2000000;39.9000000;40.1000000;17160
20140626;000000;39.8900000;40.1000000;38.7900000;39.0000000;34120
20140627;000000;39.0600000;39.4000000;34.0000000;38.0100000;47820
20140630;000000;37.9600000;38.8400000;37.4000000;38.5900000;41370
20140701;000000;38.8500000;39.5000000;38.5300000;39.2000000;3260
20140702;000000;39.0100000;39.0100000;38.4200000;38.8500000;18570
20140703;000000;38.5400000;39.0100000;37.8000000;38.9000000;8870
20140704;000000;38.6300000;39.9000000;38.6300000;39.3500000;19970
20140707;000000;39.4900000;39.5100000;39.1000000;39.2900000;2960
20140708;000000;39.7400000;39.7400000;38.5000000;39.2300000;16000
20140709;000000;39.1600000;39.2000000;38.4600000;38.7900000;6240
20140710;000000;38.7300000;38.8400000;37.4200000;38.0000000;13970
20140711;000000;38.0000000;38.1900000;37.5000000;37.9500000;2820
20140714;000000;38.1800000;38.2000000;36.7500000;37.1000000;11680
20140715;000000;37.2100000;37.2300000;35.6300000;36.2400000;40520
20140716;000000;36.1700000;36.1700000;35.3500000;35.4900000;34490
20140717;000000;35.3600000;35.5000000;33.8000000;35.0000000;82960
20140718;000000;34.7900000;35.4300000;33.1100000;33.6300000;79610
20140721;000000;33.5700000;33.5700000;32.6700000;32.9100000;29200
20140722;000000;32.9500000;34.4000000;32.9500000;34.0200000;83100
20140723;000000;33.8300000;36.0700000;33.2700000;34.2200000;61060
20140724;000000;34.0400000;34.3900000;33.7500000;33.9000000;12770
20140725;000000;33.9500000;34.4600000;32.9300000;34.0100000;120120
20140728;000000;33.7600000;33.9800000;32.8100000;33.1500000;6610
20140729;000000;33.2100000;33.5100000;32.9300000;33.4000000;24230
20140730;000000;33.3800000;33.9400000;33.3800000;33.7800000;18080
20140731;000000;33.5000000;34.5600000;33.4100000;34.0100000;74430
20140801;000000;34.1900000;35.1500000;33.5000000;35.0000000;130250
20140804;000000;34.9900000;35.5800000;34.0500000;34.9000000;63720
20140805;000000;34.2700000;34.4000000;33.8600000;34.3500000;23960
20140806;000000;34.0500000;34.6600000;33.6000000;33.9000000;92840
20140807;000000;33.9900000;34.0000000;31.8700000;32.7000000;41590
20140808;000000;32.9900000;33.2900000;32.5000000;33.1500000;42160
20140811;000000;33.2000000;33.7700000;33.0500000;33.4400000;37840
20140812;000000;33.1400000;33.7000000;33.1400000;33.3300000;42330
20140813;000000;33.4900000;33.7000000;33.1400000;33.5200000;46520
20140814;000000;33.0800000;34.1800000;33.0600000;33.8100000;31630
20140815;000000;33.7000000;34.2600000;33.6000000;33.9800000;8790
20140818;000000;33.7800000;34.0000000;33.1900000;33.6500000;16370
20140819;000000;33.5100000;34.2500000;33.1000000;34.1600000;15940
20140820;000000;34.3700000;35.5300000;34.1500000;35.5200000;40240
20140821;000000;35.5600000;36.0700000;33.9900000;34.4600000;106800
20140822;000000;34.2500000;34.9800000;33.3400000;34.9300000;17600
20140825;000000;34.5600000;35.0500000;34.5000000;35.0000000;10780
20140826;000000;34.9600000;34.9600000;34.6600000;34.6600000;22030
20140827;000000;34.7900000;34.8800000;33.6700000;34.2100000;16200
20140828;000000;34.1700000;34.6000000;33.6700000;33.8100000;8320
20140829;000000;33.7800000;33.9000000;33.1500000;33.5900000;28670
20140901;000000;33.5900000;33.6800000;32.8600000;32.9900000;23490
20140902;000000;33.0900000;33.2100000;32.9100000;33.2100000;17590
20140903;000000;33.3900000;34.2900000;33.0200000;34.0000000;17200
20140904;000000;33.7900000;35.3000000;33.6000000;34.4000000;34410
20140905;000000;34.2200000;34.6600000;33.6500000;34.0100000;43320
20140908;000000;34.0000000;34.3900000;33.9600000;34.0000000;79960
20140909;000000;34.6400000;34.6800000;33.9000000;34.1700000;141710
20140910;000000;33.9600000;34.0400000;33.3500000;33.5200000;29830
20140911;000000;33.9600000;33.9700000;32.7000000;32.7100000;70910
20140912;000000;32.7200000;32.7200000;32.2500000;32.5600000;59070
20140915;000000;32.7200000;32.9500000;31.0500000;31.1500000;83150
20140916;000000;31.4700000;31.9800000;31.2600000;31.6500000;116320
20140917;000000;31.7300000;32.2000000;30.8700000;31.4500000;39120
20140918;000000;31.4800000;31.7000000;30.8100000;31.3900000;34570
20140919;000000;31.0300000;31.2500000;30.7400000;31.1200000;32350
20140922;000000;30.9700000;31.7200000;30.2300000;30.2300000;105350
20140923;000000;30.7500000;31.0500000;30.5000000;30.8000000;35810
20140924;000000;30.9100000;32.4700000;30.9100000;32.1900000;77220
20140925;000000;32.2100000;33.6700000;31.5600000;33.3400000;105900
20140926;000000;33.1100000;33.4400000;32.9000000;33.1000000;17330
20140929;000000;33.0100000;33.0100000;31.0100000;31.4000000;63960
20140930;000000;31.4000000;31.6300000;31.1000000;31.5000000;82200
20141001;000000;31.5000000;31.6000000;31.0500000;31.3500000;11720
20141002;000000;31.1500000;31.1500000;30.3000000;30.6000000;41240
20141003;000000;30.6500000;30.9500000;30.3500000;30.5500000;22310
20141006;000000;30.6500000;31.0000000;30.2500000;30.6500000;205050
20141007;000000;30.5000000;30.8500000;30.5000000;30.8500000;16310
20141008;000000;30.7500000;30.7500000;30.2000000;30.6000000;59940
20141009;000000;30.8000000;31.2500000;30.5500000;30.8500000;22810
